date,pairId,pairName,action,price,shares,notional,fee,spread,cashAfter,reason,signalDate,signalBuySpread,signalSellSpread
1996-06-26,yuhwa_sec,유화증권,BUY_INIT,1230.0,2683,3300090.0,33000.9,87.46,6666909.1,,,,
1996-06-26,namyang_dairy,남양유업,BUY_INIT,2589.0,1274,3298386.0,32983.86,65.25,3335539.2399999998,,,,
1996-06-26,samsung_elec,삼성전자,BUY_INIT,582.0,5670,3299940.0,32999.4,57.02,2599.839999999851,,,,
1996-07-12,samsung_elec,삼성전자,SELL,636.0,5670,3606120.0,36061.200000000004,53.78,3572658.6399999997,rebalance_out,1996-07-10,,
1996-07-12,korea_circuit,코리아써키트/우,BUY,589.0,5879,3462731.0,34627.31,63.98,75300.32999999961,rebalance_in,1996-07-10,62.86,54.32
1997-05-23,namyang_dairy,남양유업,SELL,2836.0,1274,3613064.0,36130.64,72.99,3652233.6899999995,rebalance_out,1997-05-13,,
1997-05-23,lg,LG,BUY,5350.0,574,3070900.0,30709.0,59.69,550624.6899999995,rebalance_in,1997-05-13,63.78,73.19
1997-07-28,lg,LG,SELL,5700.0,574,3271800.0,32718.0,63.66,3789706.6899999995,rebalance_out,1997-07-23,,
1997-07-28,namyang_dairy,남양유업,BUY,2757.0,1168,3220176.0,32201.760000000002,71.58,537328.9299999997,rebalance_in,1997-07-23,68.63,65.09
1997-09-12,namyang_dairy,남양유업,SELL,2678.0,1168,3127904.0,31279.04,74.25,3633953.8899999997,rebalance_out,1997-09-10,,
1997-09-12,lg,LG,BUY,6600.0,483,3187800.0,31878.0,62.86,414275.88999999966,rebalance_in,1997-09-10,63.31,73.06
1997-10-01,lg,LG,SELL,5960.0,483,2878680.0,28786.8,62.79,3264169.09,rebalance_out,1997-09-30,,
1997-10-01,lotte_chilsung,롯데칠성,BUY,2650.0,1219,3230350.0,32303.5,75.69,1515.589999999851,rebalance_in,1997-09-30,76.15,62.67
1997-11-05,lotte_chilsung,롯데칠성,SELL,2400.0,1219,2925600.0,29256.0,72.41,2897859.59,rebalance_out,1997-10-07,,
1997-11-05,namyang_dairy,남양유업,BUY,2224.0,1290,2868960.0,28689.600000000002,77.05,209.98999999975786,rebalance_in,1997-10-07,75.29,72.17
1997-11-12,korea_circuit,코리아써키트/우,SELL,720.0,5879,4232880.0,42328.8,77.01,4190761.19,rebalance_out,1997-11-11,,
